|PPM 229372|14 50 52.704|-16 02 30.48|-0.0073| -0.0670|  2.8|A3        |D F  |STAR A3|
|PPM 188225|05 35 25.968|-05 54 35.64| 0.0000|  0.0010|  2.8|OE        |D F  |   STAR|
|PPM 187729|05 07 50.976|-05 05 11.40|-0.0063| -0.0810|  2.8|A3        |D F  |STAR A3|
|PPM 164476|17 43 28.368|+04 34 02.28|-0.0027|  0.1590|  2.8|K0        |F    |STAR K0|
|PPM 129529|13 02 10.608|+10 57 32.76|-0.0185|  0.0200|  2.8|K0        |F    |STAR K0|
|PPM 116243|00 13 14.160|+15 11 00.96| 0.0002| -0.0120|  2.8|B2        |F    |STAR B2|
|PPM 104935|16 30 13.200|+21 29 22.56|-0.0070| -0.0150|  2.8|K0        |D F  |STAR K0|
|PPM 68893 |03 54 07.920|+31 53 00.96| 0.0004| -0.0100|  2.8|B1        |D F  |STAR B1|
|PPM 36022 |17 30 25.944|+52 18 05.04|-0.0017|  0.0150|  2.8|G0        |D F  |STAR G0|
|PPM 361338|15 18 54.552|-68 40 46.56|-0.0132| -0.0310|  2.9|A0        |F    |STAR A0|
|PPM 400148|09 47 06.000|-65 04 19.92|-0.0020|  0.0100|  2.9|          |BD  R|   STAR|
|PPM 352685|01 58 46.200|-61 34 11.28| 0.0370|  0.0270|  2.9|F0        |F    |STAR F0|
|PPM 365714|22 18 30.096|-60 15 34.56|-0.0097| -0.0430|  2.9|K2        |F    |STAR K2|
|PPM 335509|06 49 56.184|-50 36 52.56| 0.0038| -0.0700|  2.9|K0        |F    |STAR K0|
|PPM 323069|17 31 50.520|-49 52 34.32|-0.0032| -0.0700|  2.9|B3        |D F  |STAR B3|
|PPM 264940|15 58 51.120|-26 06 50.76|-0.0008| -0.0250|  2.9|B2        |D F  |STAR B2|
|PPM 265440|16 21 11.328|-25 35 34.08|-0.0008| -0.0210|  2.9|B1        |D F  |STAR B1|
|PPM 269391|19 09 45.840|-21 01 24.96| 0.0000| -0.0350|  2.9|F2        |D F  |STAR F2|
|PPM 225920|12 29 51.864|-16 30 55.44|-0.0146| -0.1380|  2.9|A0        |D F  |STAR A0|
|PPM 239339|21 47 02.448|-16 07 38.28| 0.0183| -0.2970|  2.9|A5        |D F  |STAR A5|
|PPM 213659|03 58 01.752|-13 30 30.60| 0.0042| -0.1110|  2.9|K5        |D F  |STAR K5|
|PPM 205297|21 31 33.528|-05 34 16.32| 0.0014| -0.0080|  2.9|G0        |D F  |STAR G0|
|PPM 152663|07 27 09.048|+08 17 21.48|-0.0035| -0.0380|  2.9|B8        |F    |STAR B8|
|PPM 95868 |06 22 57.624|+22 30 48.96| 0.0039| -0.1110|  2.9|M0        |D F  |STAR M0|
|PPM 92898 |03 47 29.064|+24 06 18.36| 0.0014| -0.0460|  2.9|B5        |F    |STAR B5|
|PPM 88121 |22 43 00.144|+30 13 16.68| 0.0011| -0.0250|  2.9|G0        |D F  |STAR G0|
|PPM 76815 |12 56 01.656|+38 19 06.24|-0.0199|  0.0570|  2.9|A0        |F    |STAR A0|
|PPM 46661 |03 57 51.216|+40 00 36.72| 0.0016| -0.0260|  2.9|B1        |F    |STAR B1|
|PPM 47627 |05 01 58.128|+43 49 23.88|-0.0001| -0.0040|  2.9|F5        |D F  |STAR F5|
|PPM 28201 |03 04 47.784|+53 30 23.40| 0.0000| -0.0050|  2.9|F5        |D F  |STAR F5|
|PPM 318898|13 49 36.984|-42 28 25.68|-0.0021| -0.0200|  3.0|B2        |D F  |STAR B2|
|PPM 320744|15 35 08.376|-41 10 00.84|-0.0031| -0.0450|  3.0|B3        |PD   |STAR B3|
